BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleStrain	BioSampleBiovar	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleComment
SAMN02404403		PRJNA17689		MG05-1020	Orientalis	2005	Madagascar	Homo sapiens				KEEP: Assembly Modern Morelli 2010 Cui 2013
SAMN02404402		PRJNA17687		K1973002	Medievalis	1973	China:Xinjiang	Marmota himalayana				KEEP: Assembly Modern Morelli 2010
SAMN02404401		PRJNA17685		B42003004	Antiqua	2003	China:Xinjiang	Marmota baibacina	44.95		81.08	KEEP: Assembly Modern Morelli 2010 Cui 2013
SAMN02404400		PRJNA17683		E1979001	Antiqua	1979	China:Yunnan	Eothenomys miletus				KEEP: Assembly Modern Morelli 2010
SAMN02404399		PRJNA17681		F1991016	Orientalis	1991	China:Yunnan	Rattus flavipectus	23.15		99.24	KEEP: Assembly Modern Morelli 2010 Cui 2013
SAMN02404398		PRJNA16376		IP275	Orientalis	1995	Madagascar:Province de Fianarantsoa:Ambalavao	Homo sapiens				KEEP: Assembly Modern Morelli 2010 Cui 2013
SAMN02403943		PRJNA30509		PEXU2	Orientalis	1966	Brazil:State of Mato Grosso:Country centroid	Rodent				KEEP: Assembly Modern
SAMN02403942		PRJNA30507		India195	Orientalis	1898-1950	India:Maharashtra:Mumbai	Homo sapiens				KEEP: Assembly Modern Cui 2013
SAMN02403021	SAMN00115251	PRJNA47685	SRS116784	E1979001	Antiqua	1979	China:Yunnan	Eothenomys miletus	26.53	26.53 99.88	99.88	KEEP: Assembly Modern Cui 2013
SAMN01991273		PRJNA194125	SRS429126	2106		2001	USA: NM	Homo sapiens				KEEP: EAGER Modern
SAMN01991272		PRJNA194125	SRS429125	2055		1998	USA: NM	Homo sapiens				KEEP: EAGER Modern
SAMN01991271		PRJNA194125	SRS429118	2965		1995	USA: NM	Homo sapiens				KEEP: EAGER Modern
SAMN01991270		PRJNA194125	SRS429117	4412		1991	USA: NM	Homo sapiens				KEEP: EAGER Modern
SAMN01991269		PRJNA194125	SRS424521	4954		1987	USA: NM	Homo sapiens				KEEP: EAGER Modern
SAMN01991268		PRJNA194125	SRS424546	1901b		1983	USA: NM	Homo sapiens				KEEP: EAGER Modern
SAMN02602918				548		04-Sep-1948	Russia: Saratov region	Ovis aries		51.53 N 46.00 E		REMOVE: Not Yersinia pestis
SAMN02640258			SRS557313			2012	China: Huzhu County, Qinghai	Marmota himalayana		36.92580667 N 102.38171 E		REMOVE: No Assembly or SRA data
SAMN12012142		PRJNA548232		C-371		1978	Russia:Republic of Dagestan:Khosrekh	Cricetulus migratorius		41.993889 N 47.270556 E		KEEP: Assembly Modern
SAMN12012133		PRJNA548232		C-284		1971	Russia:Karachay-Cherkessia:Karachayevsky District	Spermophilus pygmaeus		43.433211 N 42.146785 E		KEEP: Assembly Modern
SAMN12012131		PRJNA548232		C-281		1970	Russia:Ingushetia:Malgobek	Spermophilus pygmaeus		43.416111 N 44.691667 E		KEEP: Assembly Modern
SAMN12012010		PRJNA548232		C-273		1969	Armenia:Shirak Province:Ashotsk	Microtus arvalis		41.0375 N 43.858056 E		KEEP: Assembly Modern
SAMN12011946		PRJNA548232		C-232		1968	Azerbaijan:Shahbuz Rayon	Microtus arvalis		39.483333 N 45.666667 E		KEEP: Assembly Modern
SAMN12011930		PRJNA548232		C-231		1968	Azerbaijan:Goranboy District	Meriones libycus		40.6075 N 46.7925 E		KEEP: Assembly Modern
SAMN12011899		PRJNA548232		C-224		1968	Azerbaijan:Baku	Meriones libycus		40.125 N 49.375 E		KEEP: Assembly Modern
SAMN12011893		PRJNA548232		C-62		1959	Azerbaijan:Shamkir District	Meriones libycus		40.7733 N 45.9998 E		KEEP: Assembly Modern
SAMN12011892				C-11		1950	Russia:Stavropol Krai	Lepus		44.8575 N 45.579167 E		KEEP: Assembly Modern
SAMN10484567			SRS4873497	81/1		1979	Russia	Homo sapiens		45.572027 N 41.03259 E		REMOVE: Not Yersinia pestis
SAMN10984864		PRJNA523610	SRS4392351	A1122		N/A	N/A	N/A		N/A		KEEP: EAGER Modern
SAMN10984860		PRJNA523610	SRS4392352	S1037		N/A	N/A	N/A		N/A		KEEP: EAGER Modern
SAMN08162039		PRJNA421720	SRS2750642	Yp3994		1966	Brazil:Pernambuco,Araripina,Exu,Serra Sitio Novo	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162036		PRJNA421720	SRS2750763	Yp3987		1982	Brazil:Ceara,Ipu,Ipueiras,Sitio Baixa Nova	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162035		PRJNA421720	SRS2750744	Yp3983		1982	Brazil:Ceara,Ipu,Ipueiras,Sitio Almas	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162034		PRJNA421720	SRS2750762	Yp3982		1982	Brazil:Ceara,Baturite,Aratuba,Sitio Outeiro	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162032		PRJNA421720	SRS2750738	Yp3979		1980	Brazil:Ceara,Ipu,Ipueiras,Sitio Santa Maria	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162031		PRJNA421720	SRS2750757	Yp3978		1980	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162029		PRJNA421720	SRS2750764	Yp3975		1979	Brazil:Ceara,Ipu,Ipu,Sitio Tabocal	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162025		PRJNA421720	SRS2750533	Yp3967		1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Pedra d'agua	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162024		PRJNA421720	SRS2750541	Yp3959		1982	Brazil:Paraiba,Itabaiana,Salgado de Sao Felix,Engenho Covao	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162023		PRJNA421720	SRS2750534	Yp3958		1982	Brazil:Pernambuco,Garanhuns,Caetes,Sitio Riacho Fundo	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162022		PRJNA421720	SRS2750560	Yp3952		1979	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162017		PRJNA421720	SRS2750544	Yp3935		1978	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Sao Jose dos Pilotos	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162016		PRJNA421720	SRS2750423	Yp3931		1978	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Jardim	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162011		PRJNA421720	SRS2750427	Yp3899		1975	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162008		PRJNA421720	SRS2750545	Yp3872		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Luiz	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162006		PRJNA421720	SRS2750551	Yp3866		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Bras	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162005		PRJNA421720	SRS2750561	Yp3865		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Luiz	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162004		PRJNA421720	SRS2750549	Yp3862		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Louvado	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08162003		PRJNA421720	SRS2750550	Yp3860		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Louvado	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161999		PRJNA421720	SRS2750552	Yp3854		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161996		PRJNA421720	SRS2750466	Yp3851		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161995		PRJNA421720	SRS2750429	Yp3850		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161994		PRJNA421720	SRS2750463	Yp3849		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161993		PRJNA421720	SRS2750438	Yp3848		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161990		PRJNA421720	SRS2750434	Yp3844		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Cruzinha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161987		PRJNA421720	SRS2750389	Yp3841		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161986		PRJNA421720	SRS2750368	Yp3840		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161985		PRJNA421720	SRS2750395	Yp3839		1972	Brazil:Pernambuco,Araripina,Exu,Sitio Santo Amaro	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161984		PRJNA421720	SRS2750378	Yp3838		1972	Brazil:Pernambuco,Araripina,Exu,Sitio Santo Amaro	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161983		PRJNA421720	SRS2750372	Yp3837		1972	Brazil:Pernambuco,Araripina,Exu,Sitio Romania	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161982		PRJNA421720	SRS2750374	Yp3834		1972	Brazil:Pernambuco,Araripina,Exu,Sitio Lagoa da Rapadura	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161971		PRJNA421720	SRS2750678	Yp3821		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Pocos	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161970		PRJNA421720	SRS2750677	Yp3820		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161968		PRJNA421720	SRS2750602	Yp3817		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Aracaju	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161967		PRJNA421720	SRS2750704	Yp3816		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161964		PRJNA421720	SRS2750609	Yp3812		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161963		PRJNA421720	SRS2750599	Yp3811		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161962		PRJNA421720	SRS2750640	Yp3810		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161960		PRJNA421720	SRS2750598	Yp3808		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Manicoba	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161953		PRJNA421720	SRS2750495	Yp3800		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Batinga	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161947		PRJNA421720	SRS2750461	Yp3792		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Oriente	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161946		PRJNA421720	SRS2750507	Yp3791		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Curicaca	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161944		PRJNA421720	SRS2750460	Yp3789		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Oriente	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161943		PRJNA421720	SRS2750448	Yp3788		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Cacimbas	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161942		PRJNA421720	SRS2750439	Yp3787		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Espalhado	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161941		PRJNA421720	SRS2750456	Yp3786		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Espalhado	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161939		PRJNA421720	SRS2750500	Yp3784		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Cacimbas	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161938		PRJNA421720	SRS2750721	Yp3783		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Cacimbas	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161937		PRJNA421720	SRS2750722	Yp3780		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Espalhado	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161935		PRJNA421720	SRS2750725	Yp3768		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Patrimonio	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161934		PRJNA421720	SRS2750729	Yp3766		1969	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Baixa das Flores	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161926		PRJNA421720	SRS2750373	Yp3755		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Pedra Grande	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161924		PRJNA421720	SRS2750375	Yp3753		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Pedra Grande	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161921		PRJNA421720	SRS2750394	Yp3747		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Joaquim Santana	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161920		PRJNA421720	SRS2750445	Yp3746		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Joaquim Santana	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161916		PRJNA421720	SRS2750487	Yp3737		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Floresta	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161904		PRJNA421720	SRS2750369	Yp3710		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161903		PRJNA421720	SRS2750358	Yp3709		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161902		PRJNA421720	SRS2750366	Yp3708		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161900		PRJNA421720	SRS2750422	Yp3706		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161898		PRJNA421720	SRS2750475	Yp3704		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Batedor	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161897		PRJNA421720	SRS2750477	Yp3703		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Queimada Grande	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161892		PRJNA421720	SRS2750470	Yp3696		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Novo Horizonte	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161890		PRJNA421720	SRS2750472	Yp3693		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Retiro	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161888		PRJNA421720	SRS2750554	Yp3690		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Novo Horizonte	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161885		PRJNA421720	SRS2750583	Yp3685		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Cacimbas	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161882		PRJNA421720	SRS2750556	Yp3682		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Barra Nova	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161880		PRJNA421720	SRS2750663	Yp3680		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161879		PRJNA421720	SRS2750658	Yp3679		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161878		PRJNA421720	SRS2750664	Yp3678		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161876		PRJNA421720	SRS2750656	Yp3668		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161874		PRJNA421720	SRS2750653	Yp3661		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Queimada Grande	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161872		PRJNA421720	SRS2750650	Yp3659		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161869		PRJNA421720	SRS2750649	Yp3655		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161867		PRJNA421720	SRS2750710	Yp3652		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161866		PRJNA421720	SRS2750707	Yp3651		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161865		PRJNA421720	SRS2750706	Yp3650		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161863		PRJNA421720	SRS2750716	Yp3648		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161861		PRJNA421720	SRS2750715	Yp3646		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161860		PRJNA421720	SRS2750703	Yp3640		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161857		PRJNA421720	SRS2750381	Yp3637		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161856		PRJNA421720	SRS2750428	Yp3636		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Batedor	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161852		PRJNA421720	SRS2750419	Yp3624		1966	Brazil:Pernambuco,Araripina,Exu,Sitio Jose Padeiro	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161851		PRJNA421720	SRS2750420	Yp3623		1966	Brazil:Pernambuco,Araripina,Exu,Sitio Retiro	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161850		PRJNA421720	SRS2750421	Yp3622		1966	Brazil:Pernambuco,Araripina,Exu,Sitio Jose Padeiro	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161846		PRJNA421720	SRS2750492	Yp3603		1983	Brazil:Ceara,Ibiapaba,Sao Benedito,Sitio Pimenteira	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161843		PRJNA421720	SRS2750562	Yp3597		1982	Brazil:Ceara,Ibiapaba,Ibiapina,Sitio Aracas	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161842		PRJNA421720	SRS2750530	Yp3592		1982	Brazil:Ceara,Fortaleza,Maranguape,Sitio Santo Amaro	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161841		PRJNA421720	SRS2750509	Yp3588		1979	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161840		PRJNA421720	SRS2750503	Yp3587		1979	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161833		PRJNA421720	SRS2750614	Yp3575		1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Cinco Lagoas	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161832		PRJNA421720	SRS2750610	Yp3573		1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Fazenda Pedra d'agua	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161830		PRJNA421720	SRS2750628	Yp3571		1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Cinco Estrelas	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161829		PRJNA421720	SRS2750627	Yp3570		1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Lagoa do Serrote	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161824		PRJNA421720	SRS2750403	Yp3565		1982	Brazil:Ceara,Ipu,Ipueiras,Sitio Grossos	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161823		PRJNA421720	SRS2750431	Yp3562		1982	Brazil:Pernambuco,Garanhuns,Caetes,Sitio Riacho Fundo	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161822		PRJNA421720	SRS2750396	Yp3561		1980	Brazil:Pernambuco,Araripina,Araripina,Sitio Tamboril	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161821		PRJNA421720	SRS2750397	Yp3560		1980	Brazil:Paraiba,Umbuzeiro,Natuba,Sitio Gito	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161819		PRJNA421720	SRS2750401	Yp3558		1980	Brazil:Paraiba,Umbuzeiro,Natuba,Sitio Salgadinho	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161818		PRJNA421720	SRS2750708	Yp3557		1980	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161817		PRJNA421720	SRS2750685	Yp3555		1979	Brazil:Ceara,Ipu,Ipu,Sitio Taboca	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161815		PRJNA421720	SRS2750693	Yp3549		1979	Brazil:Paraiba,Umbuzeiro,Natuba,Sitio Taua	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161810		PRJNA421720	SRS2750684	Yp3543		1979	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Salgada	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161809		PRJNA421720	SRS2750683	Yp3542		1979	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Boqueirao	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161808		PRJNA421720	SRS2750571	Yp3541		1979	Brazil:Paraiba,Umbuzeiro,Natuba,Sitio Estivas	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161807		PRJNA421720	SRS2750567	Yp3540		1979	Brazil:Paraiba,Umbuzeiro,Natuba,Sitio Cha do Vento	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161795		PRJNA421720	SRS2750451	Yp3526		1978	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Jerico	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161793		PRJNA421720	SRS2750449	Yp3524		1978	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Barbalho	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161769		PRJNA421720	SRS2750617	Yp3497		1975	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161768		PRJNA421720	SRS2750522	Yp3496		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Cascavel	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161753		PRJNA421720	SRS2750387	Yp3478		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Alagadico	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161749		PRJNA421720	SRS2750383	Yp3473		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Inacio	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161745		PRJNA421720	SRS2750673	Yp3468		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Nazare	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161738		PRJNA421720	SRS2750564	Yp3460		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Luiz	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161737		PRJNA421720	SRS2750557	Yp3459		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Luiz	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161736		PRJNA421720	SRS2750558	Yp3458		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Ludugerio	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161734		PRJNA421720	SRS2750584	Yp3455		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Luiz	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161733		PRJNA421720	SRS2750632	Yp3454		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Luiz	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161729		PRJNA421720	SRS2750568	Yp3447		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Jurubeba	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161727		PRJNA421720	SRS2750468	Yp3444		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Mata Fresca	Bolomys lasiurus		NA		KEEP: EAGER Modern
SAMN08161722		PRJNA421720	SRS2750469	Yp3435		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado	Bolomys lasiurus		NA		KEEP: EAGER Modern
