BioSampleAccession	AssemblyFTPGenbank	SRARunAccession	BioSampleStrain	BioSampleCollectionDate	BioSampleHost	BioSampleGeographicLocation	BioSampleBiovar	PubmedArticleTitle	PubmedAuthorsLastName	AssemblyContigCount	AssemblyTotalLength	NucleotideGenes	NucleotideGenesTotal	NucleotidePseudoGenes	NucleotidePseudoGenesTotal	NucleotiderRNAs	AssemblySubmissionDate	SRARunPublishDate	BioSampleComment
SAMN08161871		SRR6367127	Yp3658	1967	Rattus rattus frugivorus	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha												2018-12-13 00:38:00	
SAMN08161870		SRR6367130	Yp3656	1967	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha												2018-12-13 00:38:00	
SAMN08161869		SRR6367129	Yp3655	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha												2018-12-13 00:38:00	
SAMN08161868		SRR6367069	Yp3653	1967	Rattus rattus alexandrinus	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha												2018-12-13 00:38:01	
SAMN08161867		SRR6367070	Yp3652	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha												2018-12-13 00:38:01	
SAMN08161866		SRR6367071	Yp3651	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha												2018-12-13 00:38:01	
SAMN08161865		SRR6367072	Yp3650	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha												2018-12-13 00:38:01	
SAMN08161864		SRR6367073	Yp3649	1967	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha												2018-12-13 00:38:01	
SAMN08161863		SRR6367074	Yp3648	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha												2018-12-13 00:38:01	
SAMN08161862		SRR6367075	Yp3647	1967	Rattus rattus frugivorus	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao												2018-12-13 00:38:01	
SAMN08161861		SRR6367076	Yp3646	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha												2018-12-13 00:38:01	
SAMN08161860		SRR6367077	Yp3640	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha												2018-12-13 00:38:01	
SAMN08161859		SRR6367078	Yp3639	1967	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha												2018-12-13 00:38:01	
SAMN08161858		SRR6366990	Yp3638	1967	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha												2018-12-13 00:37:53	
SAMN08161857		SRR6366989	Yp3637	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha												2018-12-13 00:37:53	
SAMN08161856		SRR6366950	Yp3636	1967	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Batedor												2018-12-13 00:37:54	
SAMN08161855		SRR6366949	Yp3631	1967	Homo sapiens	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Santa Clara												2018-12-13 00:37:54	
SAMN08161854		SRR6366948	Yp3630	1967	Homo sapiens	Brazil:Pernambuco,Salgueiro,Sao Jose do Belmonte,Sitio Minador												2018-12-13 00:37:54	
SAMN08161853		SRR6366947	Yp3625	1966	Oligoryzomys nigripes	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Manoel Severino												2018-12-13 00:37:54	
SAMN08161852		SRR6366946	Yp3624	1966	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Jose Padeiro												2018-12-13 00:37:54	
SAMN08161851		SRR6366945	Yp3623	1966	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Retiro												2018-12-13 00:37:54	
SAMN08161850		SRR6366944	Yp3622	1966	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Jose Padeiro												2018-12-13 00:37:54	
SAMN08161849		SRR6366943	Yp3621	1966	Rattus rattus frugivorus	Brazil:Pernambuco,Araripina,Exu,Sitio Retiro												2018-12-13 00:37:54	
SAMN08161848		SRR6366863	Yp3620	1966	Rattus rattus alexandrinus	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Serrinha												2018-12-13 00:37:57	
SAMN08161847		SRR6366864	Yp3619	1966	Cerradomys subflavus	Brazil:Pernambuco,Araripina,Exu,Serra Novo Mundo												2018-12-13 00:37:57	
SAMN08161846		SRR6366871	Yp3603	1983	Bolomys lasiurus	Brazil:Ceara,Ibiapaba,Sao Benedito,Sitio Pimenteira												2018-12-13 00:37:57	
SAMN08161845		SRR6366872	Yp3600	1982	Rattus rattus alexandrinus	Brazil:Ceara,Baturite,Redencao,Sitio Miranda												2018-12-13 00:37:57	
SAMN08161844		SRR6366869	Yp3598	1982	Homo sapiens	Brazil:Ceara,Ipu,Ipu,Sitio Baixinha												2018-12-13 00:37:57	
SAMN08161843		SRR6366870	Yp3597	1982	Bolomys lasiurus	Brazil:Ceara,Ibiapaba,Ibiapina,Sitio Aracas												2018-12-13 00:37:57	
SAMN08161842		SRR6366867	Yp3592	1982	Bolomys lasiurus	Brazil:Ceara,Fortaleza,Maranguape,Sitio Santo Amaro												2018-12-13 00:37:57	
SAMN08161841		SRR6366868	Yp3588	1979	Bolomys lasiurus	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix												2018-12-13 00:37:57	
SAMN08161840		SRR6366865	Yp3587	1979	Bolomys lasiurus	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix												2018-12-13 00:37:57	
SAMN08161839		SRR6366866	Yp3584	1997	Homo sapiens	Brazil:Ceara,Ipu,Ipu,Sitio Ipuzinho												2018-12-13 00:37:57	
SAMN08161838		SRR6366755	Yp3583	1986	Homo sapiens	Brazil:Paraiba,Curimatau Ocidental,Remigio,Fazenda Serrinha												2018-12-13 00:37:59	
SAMN08161837		SRR6366754	Yp3580	1986	Cerradomys subflavus	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Bacalhau												2018-12-13 00:38:00	
SAMN08161836		SRR6366761	Yp3578	1986	Rattus rattus frugivorus	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Cinco Lagoas												2018-12-13 00:37:59	
SAMN08161835		SRR6366760	Yp3577	1986	Rattus rattus frugivorus	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Bacalhau												2018-12-13 00:37:59	
SAMN08161834		SRR6366763	Yp3576	1986	Cerradomys subflavus	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Cinco Lagoas												2018-12-13 00:37:59	
SAMN08161833		SRR6366762	Yp3575	1986	Bolomys lasiurus	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Cinco Lagoas												2018-12-13 00:37:59	
SAMN08161832		SRR6366757	Yp3573	1986	Bolomys lasiurus	Brazil:Paraiba,Curimatau Oriental,Solanea,Fazenda Pedra d'agua												2018-12-13 00:37:59	
SAMN08161831		SRR6366756	Yp3572	1986	Holochilus sciureus	Brazil:Paraiba,Curimatau Oriental,Solanea,Fazenda Pedra d'agua												2018-12-13 00:37:59	
SAMN08161830		SRR6366759	Yp3571	1986	Bolomys lasiurus	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Cinco Estrelas												2018-12-13 00:37:59	
SAMN08161829		SRR6366758	Yp3570	1986	Bolomys lasiurus	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Lagoa do Serrote												2018-12-13 00:37:59	
SAMN08161828		SRR6366970	Yp3569	1986	Rattus rattus frugivorus	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Valerio												2018-12-13 00:37:54	
SAMN08161827		SRR6366969	Yp3568	1986	Rattus rattus frugivorus	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Pedra d'agua												2018-12-13 00:37:54	
SAMN08161826		SRR6366976	Yp3567	1986	Homo sapiens	Brazil:Paraiba,Curimatau Ocidental,Barra de Santa Rosa,Sitio Malhada da Catingueira												2018-12-13 00:37:54	
SAMN08161825		SRR6366975	Yp3566	1986	Homo sapiens	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Pedra d'agua												2018-12-13 00:37:54	
SAMN08161824		SRR6366978	Yp3565	1982	Bolomys lasiurus	Brazil:Ceara,Ipu,Ipueiras,Sitio Grossos												2018-12-13 00:37:54	
SAMN08161823		SRR6366977	Yp3562	1982	Bolomys lasiurus	Brazil:Pernambuco,Garanhuns,Caetes,Sitio Riacho Fundo												2018-12-13 00:37:54	
SAMN08161822		SRR6366972	Yp3561	1980	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Araripina,Sitio Tamboril												2018-12-13 00:37:54	
SAMN08161821		SRR6366971	Yp3560	1980	Bolomys lasiurus	Brazil:Paraiba,Umbuzeiro,Natuba,Sitio Gito												2018-12-13 00:37:54	
SAMN08161820		SRR6366974	Yp3559	1980	Homo sapiens	Brazil:Pernambuco,Araripina,Ipubi,Sitio Baixa												2018-12-13 00:37:54	
SAMN08161819		SRR6366973	Yp3558	1980	Bolomys lasiurus	Brazil:Paraiba,Umbuzeiro,Natuba,Sitio Salgadinho												2018-12-13 00:37:54	
SAMN08161818		SRR6367091	Yp3557	1980	Bolomys lasiurus	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix												2018-12-13 00:38:01	
SAMN08161817		SRR6367092	Yp3555	1979	Bolomys lasiurus	Brazil:Ceara,Ipu,Ipu,Sitio Taboca												2018-12-13 00:38:01	
SAMN08161816		SRR6367099	Yp3551	1979	Polygenis	Brazil:Pernambuco,Vale do Ipojuca,Tacaimbo,Sitio Malhada do Jua												2018-12-13 00:38:01	
SAMN08161815		SRR6367100	Yp3549	1979	Bolomys lasiurus	Brazil:Paraiba,Umbuzeiro,Natuba,Sitio Taua												2018-12-13 00:38:01	
SAMN08161814		SRR6367097	Yp3548	1979	Polygenis	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Santa Tereza												2018-12-13 00:38:01	
SAMN08161813		SRR6367098	Yp3547	1979	Cerradomys subflavus	Brazil:Paraiba,Umbuzeiro,Natuba,Sitio Estivas												2018-12-13 00:38:01	
SAMN08161812		SRR6367095	Yp3545	1979	Cerradomys subflavus	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Salgada												2018-12-13 00:38:01	
SAMN08161811		SRR6367096	Yp3544	1979	Cerradomys subflavus	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Conceicao												2018-12-13 00:38:01	
SAMN08161810		SRR6367093	Yp3543	1979	Bolomys lasiurus	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Salgada												2018-12-13 00:38:01	
SAMN08161809		SRR6367094	Yp3542	1979	Bolomys lasiurus	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Boqueirao												2018-12-13 00:38:01	
SAMN08161808		SRR6366803	Yp3541	1979	Bolomys lasiurus	Brazil:Paraiba,Umbuzeiro,Natuba,Sitio Estivas												2018-12-13 00:37:59	
SAMN08161807		SRR6366802	Yp3540	1979	Bolomys lasiurus	Brazil:Paraiba,Umbuzeiro,Natuba,Sitio Cha do Vento												2018-12-13 00:37:59	
SAMN08161806		SRR6366797	Yp3539	1979	Homo sapiens	Brazil:Ceara,Ipu,Ipu,Sitio Macaco												2018-12-13 00:37:59	
SAMN08161805		SRR6366796	Yp3537	1979	Homo sapiens	Brazil:Ceara,Ipu,Ipu,Sitio Taboca												2018-12-13 00:37:59	
SAMN08161804		SRR6366795	Yp3536	1979	Calomys callosus	Brazil:Ceara,Baturite,Aratuba,Sitio Fernandes												2018-12-13 00:37:59	
SAMN08161803		SRR6366794	Yp3535	1978	Homo sapiens	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Santo Amaro												2018-12-13 00:37:59	
SAMN08161802		SRR6366801	Yp3534	1978	Homo sapiens	Brazil:Ceara,Ibiapaba,Sao Benedito,Sitio Carnauba												2018-12-13 00:37:59	
SAMN08161801		SRR6366800	Yp3533	1978	Homo sapiens	Brazil:Ceara,Ipu,Ipu,Sitio Sao Joao												2018-12-13 00:37:59	
SAMN08161800		SRR6366799	Yp3532	1978	Homo sapiens	Brazil:Ceara,Ipu,Ipu,Sitio Tabocal												2018-12-13 00:37:59	
SAMN08161799		SRR6366798	Yp3531	1978	rodent	Brazil:Bahia,Serrinha,Serrinha,Fazenda Flores												2018-12-13 00:37:59	
SAMN08161798		SRR6366917	Yp3529	1978	Rattus rattus	Brazil:Ceara,Ipu,Ipu,Sitio Almas												2018-12-13 00:37:55	
SAMN08161797		SRR6366918	Yp3528	1978	Homo sapiens	Brazil:Ceara,Baturite,Aratuba,Sitio Serrinha												2018-12-13 00:37:55	
SAMN08161796		SRR6366913	Yp3527	1978	Cerradomys subflavus	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Sao Jose dos Vianas												2018-12-13 00:37:55	
SAMN08161795		SRR6366914	Yp3526	1978	Bolomys lasiurus	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Jerico												2018-12-13 00:37:55	
SAMN08161794		SRR6366915	Yp3525	1978	Homo sapiens	Brazil:Ceara,Ipu,Ipu,Sitio Cabeca Dantas												2018-12-13 00:37:55	
SAMN08161793		SRR6366916	Yp3524	1978	Bolomys lasiurus	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Barbalho												2018-12-13 00:37:55	
SAMN08161792		SRR6366909	Yp3522	1978	Homo sapiens	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix												2018-12-13 00:37:55	
SAMN08161791		SRR6366910	Yp3521	1977	Polygenis	Brazil:Pernambuco,Araripina,Araripina,Sitio Alto Alegre												2018-12-13 00:37:55	
SAMN08161790		SRR6366911	Yp3520	1975	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Brejo Santo Inacio												2018-12-13 00:37:55	
SAMN08161789		SRR6366912	Yp3519	1975	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Pedro												2018-12-13 00:37:55	
SAMN08161788		SRR6367059	Yp3518	1975	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Pedro												2018-12-13 00:38:02	
SAMN08161787		SRR6367058	Yp3517	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Neco												2018-12-13 00:38:02	
SAMN08161786		SRR6367061	Yp3516	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Inhame												2018-12-13 00:38:02	
SAMN08161785		SRR6367060	Yp3515	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Lagoa do Alvino												2018-12-13 00:38:02	
SAMN08161784		SRR6367063	Yp3512	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Lagoa do Ouro												2018-12-13 00:38:02	
SAMN08161783		SRR6367062	Yp3511	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Cavaco												2018-12-13 00:38:02	
SAMN08161782		SRR6367065	Yp3510	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Vila Timorante												2018-12-13 00:38:02	
SAMN08161781		SRR6366842	Yp3509	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Lagoa Seca 2												2018-12-13 00:37:57	
SAMN08161780		SRR6367067	Yp3508	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Ipubi,Sitio Cacimbinha												2018-12-13 00:38:01	
SAMN08161779		SRR6367066	Yp3507	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Lagoa do Alvino												2018-12-13 00:38:02	
SAMN08161778		SRR6366744	Yp3506	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Graca												2018-12-13 00:38:00	
SAMN08161777		SRR6366745	Yp3505	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Pitombeira												2018-12-13 00:38:00	
SAMN08161776		SRR6366748	Yp3504	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Serra Antonio Domingos												2018-12-13 00:38:00	
SAMN08161775		SRR6366749	Yp3503	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Ipubi,Sitio Cacimbinha												2018-12-13 00:38:00	
SAMN08161774		SRR6366746	Yp3502	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Ipubi,Sitio Cacimbinha												2018-12-13 00:38:00	
SAMN08161773		SRR6366747	Yp3501	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Ipubi,Sitio Cacimbinha												2018-12-13 00:38:00	
SAMN08161772		SRR6366752	Yp3500	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Mulunguzinho												2018-12-13 00:38:00	
SAMN08161771		SRR6366753	Yp3499	1975	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira												2018-12-13 00:38:00	
SAMN08161770		SRR6366750	Yp3498	1975	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira												2018-12-13 00:38:00	
SAMN08161769		SRR6366751	Yp3497	1975	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira												2018-12-13 00:38:00	
SAMN08161768		SRR6366854	Yp3496	1975	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Cascavel												2018-12-13 00:37:57	
SAMN08161767		SRR6366853	Yp3495	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Bandeira												2018-12-13 00:37:57	
SAMN08161766		SRR6366862	Yp3494	1975	Thrichomys	Brazil:Pernambuco,Araripina,Exu,Sitio Campo Grande												2018-12-13 00:37:57	
SAMN08161765		SRR6366861	Yp3492	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Nascente												2018-12-13 00:37:57	
SAMN08161764		SRR6366860	Yp3491	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Torre Grande												2018-12-13 00:37:57	
SAMN08161763		SRR6366859	Yp3490	1975	Homo sapiens	Brazil:Piaui,Alto Medio Caninde,Simoes,Sitio Barrinha												2018-12-13 00:37:57	
SAMN08161762		SRR6366858	Yp3489	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Batente												2018-12-13 00:37:57	
SAMN08161761		SRR6366857	Yp3487	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Joaquim dos Ferreiras												2018-12-13 00:37:57	
SAMN08161760		SRR6366856	Yp3485	1975	Thrichomys	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira												2018-12-13 00:37:57	
SAMN08161759		SRR6366855	Yp3484	1975	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira												2018-12-13 00:37:57	
SAMN08161758		SRR6366987	Yp3483	1975	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Canavieira												2018-12-13 00:37:53	
SAMN08161757		SRR6366988	Yp3482	1975	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira												2018-12-13 00:37:53	
SAMN08161756		SRR6366979	Yp3481	1975	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira												2018-12-13 00:37:54	
SAMN08161755		SRR6366980	Yp3480	1975	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira												2018-12-13 00:37:54	
SAMN08161754		SRR6366981	Yp3479	1975	Oligoryzomys nigripes	Brazil:Pernambuco,Araripina,Exu,Sitio Canavieira												2018-12-13 00:37:53	
SAMN08161753		SRR6366982	Yp3478	1975	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Araripina,Sitio Alagadico												2018-12-13 00:37:53	
SAMN08161752		SRR6366983	Yp3476	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Campo Grande												2018-12-13 00:37:53	
SAMN08161751		SRR6366984	Yp3475	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Vira Mao												2018-12-13 00:37:53	
SAMN08161750		SRR6366985	Yp3474	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Cansancao												2018-12-13 00:37:53	
SAMN08161749		SRR6366986	Yp3473	1975	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Araripina,Sitio Inacio												2018-12-13 00:37:53	
SAMN08161748		SRR6367110	Yp3472	1975	Thrichomys	Brazil:Pernambuco,Araripina,Araripina,Sitio Inacio												2018-12-13 00:38:01	
SAMN08161747		SRR6367109	Yp3471	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Serra da Torre												2018-12-13 00:38:01	
SAMN08161746		SRR6367106	Yp3470	1975	Homo sapiens	Brazil:Pernambuco,Araripina,Araripina,Sitio Inacio												2018-12-13 00:38:01	
SAMN08161745		SRR6367105	Yp3468	1975	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Nazare												2018-12-13 00:38:01	
SAMN08161744		SRR6367108	Yp3466	1975	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Saco Grande												2018-12-13 00:38:01	
SAMN08161743		SRR6367107	Yp3465	1975	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Patrimonio												2018-12-13 00:38:01	
SAMN08161742		SRR6367102	Yp3464	1975	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Nazare												2018-12-13 00:38:01	
SAMN08161741		SRR6367101	Yp3463	1975	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Altair												2018-12-13 00:38:01	
SAMN08161740		SRR6367104	Yp3462	1975	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Barro												2018-12-13 00:38:01	
SAMN08161739		SRR6367103	Yp3461	1974	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Exu												2018-12-13 00:38:01	
SAMN08161738		SRR6366812	Yp3460	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Luiz												2018-12-13 00:37:58	
SAMN08161737		SRR6366813	Yp3459	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Luiz												2018-12-13 00:37:58	
SAMN08161736		SRR6366810	Yp3458	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Ludugerio												2018-12-13 00:37:58	
SAMN08161735		SRR6366811	Yp3457	1974	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Alto do Ferreira												2018-12-13 00:37:58	
SAMN08161734		SRR6366808	Yp3455	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Luiz												2018-12-13 00:37:59	
SAMN08161733		SRR6366809	Yp3454	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Luiz												2018-12-13 00:37:58	
SAMN08161732		SRR6366806	Yp3453	1974	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Ludugerio												2018-12-13 00:37:59	
SAMN08161731		SRR6366807	Yp3452	1974	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Luiz												2018-12-13 00:37:59	
SAMN08161730		SRR6366804	Yp3448	1974	Cerradomys subflavus	Brazil:Pernambuco,Araripina,Exu,Sitio Mata Fresca												2018-12-13 00:37:59	
SAMN08161729		SRR6366805	Yp3447	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Jurubeba												2018-12-13 00:37:59	
SAMN08161728		SRR6366900	Yp3446	1974	Cerradomys subflavus	Brazil:Pernambuco,Araripina,Exu,Sitio Jurubeba												2018-12-13 00:37:56	
SAMN08161727		SRR6366899	Yp3444	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Mata Fresca												2018-12-13 00:37:56	
SAMN08161726		SRR6366906	Yp3442	1974	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Saudade												2018-12-13 00:37:55	
SAMN08161725		SRR6366905	Yp3440	1974	Pulex	Brazil:Pernambuco,Araripina,Exu,Sitio Brejo Santo Inacio												2018-12-13 00:37:55	
SAMN08161724		SRR6366908	Yp3439	1974	Homo sapiens	Brazil:Pernambuco,Araripina,Exu,Sitio Brejo Santo Inacio												2018-12-13 00:37:55	
SAMN08161723		SRR6366907	Yp3438	1974	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Morada Nova												2018-12-13 00:37:55	
SAMN08161722		SRR6366902	Yp3435	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:56	
SAMN08161721		SRR6366901	Yp3432	1974	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:56	
SAMN08161720		SRR6366904	Yp3431	1974	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado												2018-12-13 00:37:55	
SAMN08161719		SRR6366903	Yp3414	1972	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Exu,Sitio Romania												2018-12-13 00:37:56	
SAMN08161718		SRR6366784	Yp3413	1972	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Retiro												2018-12-13 00:37:59	
SAMN08161717		SRR6366785	Yp3412	1972	Polygenis	Brazil:Pernambuco,Araripina,Exu,Sitio Lagoa da Rapadura												2018-12-13 00:37:59	
SAMN08161716		SRR6366792	Yp3411	1972	Bolomys lasiurus	Brazil:Pernambuco,Araripina,Bodoco,Sitio Araruna												2018-12-13 00:37:59	
SAMN08161715		SRR6366793	Yp3408	1972	Polygenis	Brazil:Pernambuco,Araripina,Bodoco,Sitio Araruna												2018-12-13 00:37:59	
SAMN08161714		SRR6366790	Yp3406	1972	Homo sapiens	Brazil:Ceara,Ipu,Ipu,Sitio Macambira												2018-12-13 00:37:59	
SAMN08161713		SRR6366791	Yp3405	1972	Homo sapiens	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix												2018-12-13 00:37:59	
SAMN08161712		SRR6366788	Yp3404	1972	Homo sapiens	Brazil:Ceara,Ibiapaba,Sao Benedito,Sitio Pimenteira												2018-12-13 00:37:59	
SAMN08161711		SRR6366789	Yp3400	1971	Homo sapiens	Brazil:Ceara,Ipu,Ipu,Sitio Lagoa Velha												2018-12-13 00:37:59	
SAMN08161710		SRR6366786	Yp3399	1971	Homo sapiens	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Lagoa do Firmino												2018-12-13 00:37:59	
SAMN08161709		SRR6366787	Yp3398	1971	Homo sapiens	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix												2018-12-13 00:37:59	
SAMN08161708		SRR6366733	Yp3396	1971	Homo sapiens	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Santo Antonio dos Camelos												2018-12-13 00:38:00	
